run,title_contenders_round_34,title_contenders_round_35,title_contenders_round_36,title_contenders_round_37,title_contenders_round_38,champions_league_contenders_round_34,champions_league_contenders_round_35,champions_league_contenders_round_36,champions_league_contenders_round_37,champions_league_contenders_round_38,relegation_contenders_round_34,relegation_contenders_round_35,relegation_contenders_round_36,relegation_contenders_round_37,relegation_contenders_round_38,no_stakes_round34,no_stakes_round35,no_stakes_round36,no_stakes_round37,no_stakes_round38,title_matches_round_34,title_matches_round_35,title_matches_round_36,title_matches_round_37,title_matches_round_38,champions_league_matches_round_34,champions_league_matches_round_35,champions_league_matches_round_36,champions_league_matches_round_37,champions_league_matches_round_38,relegation_matches_round_34,relegation_matches_round_35,relegation_matches_round_36,relegation_matches_round_37,relegation_matches_round_38,title_vs_relegation_matches_round_34,title_vs_relegation_matches_round_35,title_vs_relegation_matches_round_36,title_vs_relegation_matches_round_37,title_vs_relegation_matches_round_38,champions_league_vs_relegation_matches_round_34,champions_league_vs_relegation_matches_round_35,champions_league_vs_relegation_matches_round_36,champions_league_vs_relegation_matches_round_37,champions_league_vs_relegation_matches_round_38,irrelevant_matches_round_34,irrelevant_matches_round_35,irrelevant_matches_round_36,irrelevant_matches_round_37,irrelevant_matches_round_38,partially_relevant_matches_round_34,partially_relevant_matches_round_35,partially_relevant_matches_round_36,partially_relevant_matches_round_37,partially_relevant_matches_round_38,highly_relevant_matches_round_34,highly_relevant_matches_round_35,highly_relevant_matches_round_36,highly_relevant_matches_round_37,highly_relevant_matches_round_38
81,3,3,3,3,2,9,7,4,2,0,7,7,6,5,4,3,4,7,10,14,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,4,5,2,4,7,6,4,4,1
82,0,0,0,0,0,7,5,3,0,0,11,10,8,6,2,2,5,9,14,18,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,2,3,7,6,2,8,6,2,0,0
83,2,2,0,0,0,7,5,4,4,2,7,4,3,2,2,4,9,13,14,16,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,4,7,5,6,2,6,2,1,0,1
84,3,3,2,0,0,6,4,2,0,0,2,0,0,0,0,9,13,16,20,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,10,7,7,4,0,0,2,0,0,0,0
85,2,2,2,2,0,6,3,3,2,0,8,7,7,5,3,4,8,8,11,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,2,8,6,5,3,7,2,3,2,0
86,3,3,2,2,2,6,4,2,0,0,7,6,6,4,3,5,7,10,14,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,5,3,4,6,3,5,5,3,0,1
87,2,2,0,0,0,8,7,4,2,0,7,6,0,0,0,3,5,16,18,20,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,3,5,4,2,0,7,5,0,0,0
88,2,2,2,2,2,5,5,3,2,0,8,3,2,0,0,5,10,13,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,8,1,6,7,4,2,7,2,0,0,0
89,3,2,0,0,0,7,4,4,0,0,10,5,5,3,3,2,9,11,17,17,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,2,7,7,3,3,8,2,1,0,0
90,0,0,0,0,0,7,6,5,5,3,8,7,6,5,2,5,7,9,10,15,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,7,7,2,5,5,3,2,4,0
91,2,2,2,2,0,2,0,0,0,0,10,9,8,5,3,6,9,10,13,17,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,4,7,4,7,3,5,2,3,0,0
92,2,2,2,2,0,6,5,2,0,0,10,6,4,4,2,2,7,12,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,2,5,6,6,2,8,4,1,0,0
93,2,2,2,2,0,8,6,2,2,0,6,5,3,2,2,4,7,13,14,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,8,2,7,3,4,2,7,3,2,1,0
94,4,3,2,0,0,0,0,0,0,0,7,4,4,3,2,9,13,14,17,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7,8,5,3,6,3,2,3,2,0,0,0
95,4,4,3,0,0,3,0,0,0,0,10,7,5,4,3,4,9,12,16,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,7,4,5,6,4,3,6,3,1,0,0
96,0,0,0,0,0,8,7,6,3,2,6,5,5,4,2,6,8,9,13,16,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,4,4,1,3,2,5,4,5,2,1
97,3,2,2,2,0,4,4,2,0,0,11,7,6,4,4,2,7,10,14,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,2,3,6,6,2,8,5,2,0,1
98,0,0,0,0,0,9,8,5,2,0,6,6,6,5,3,5,6,9,13,17,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,3,4,3,7,3,6,5,4,0,0
99,2,2,2,2,0,9,7,5,0,0,8,5,3,3,3,1,6,10,15,17,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,1,6,6,5,3,9,4,2,0,0
